case_id	check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class	sample	source_format	family	agency	year	page_a	page_b	command_a	command_b	field_a	field_b	observed_a	observed_b	honest_claim	contract_source	not_abstain	not_repeat
v-shadow-000001	ir-diff	verify-pages	1	1	1	JOINT_PASS	samples/행정안전부/편람/case-00000-01-2017.hwpx	hwpx	편람	행정안전부	2017	2	2	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	true	0	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-000002	ir-diff	verify-pages	1	0	0	SHADOW_A_ONLY	samples/국세청/시험지/case-00000-02-2018.hwp	hwp	시험지	국세청	2018	3	7	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	true	1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-000003	ir-diff	verify-pages	0	1	0	SHADOW_B_ONLY	samples/대법원/훈령/case-00000-03-2019.hwpx	hwpx	훈령	대법원	2019	5	4	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	false	0	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-000004	ir-diff	verify-pages	0	0	0	JOINT_BOTH_FAIL	samples/특허청/고시/case-00000-04-2020.hwp	hwp	고시	특허청	2020	7	11	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	false	1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-000005	ir-diff	fill-verify	1	1	1	JOINT_PASS	samples/교육부/공고문/case-00000-05-2021.hwpx	hwpx	공고문	교육부	2021	6	6	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-000006	ir-diff	fill-verify	1	0	0	SHADOW_A_ONLY	samples/보건복지부/회의록/case-00000-06-2022.hwp	hwp	회의록	보건복지부	2022	7	10	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-000007	ir-diff	fill-verify	0	1	0	SHADOW_B_ONLY	samples/국토교통부/예산서/case-00000-07-2023.hwpx	hwpx	예산서	국토교통부	2023	10	8	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-000008	ir-diff	fill-verify	0	0	0	JOINT_BOTH_FAIL	samples/고용노동부/결산서/case-00000-08-2024.hwp	hwp	결산서	고용노동부	2024	12	14	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-000009	ir-diff	layout-anomaly	1	1	1	JOINT_PASS	samples/외교부/계약서/case-00000-09-2025.hwpx	hwpx	계약서	외교부	2025	10	10	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	true	false	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-000010	ir-diff	layout-anomaly	1	0	0	SHADOW_A_ONLY	samples/기획재정부/용역보고서/case-00000-10-2026.hwp	hwp	용역보고서	기획재정부	2026	11	13	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	true	true	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-000011	ir-diff	layout-anomaly	0	1	0	SHADOW_B_ONLY	samples/공정거래위원회/학술논문/case-00000-11-2016.hwpx	hwpx	학술논문	공정거래위원회	2016	15	12	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	false	false	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-000012	ir-diff	layout-anomaly	0	0	0	JOINT_BOTH_FAIL	samples/금융위원회/입법예고/case-00000-12-2017.hwp	hwp	입법예고	금융위원회	2017	14	17	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	false	true	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-000013	ir-diff	render-diff	1	1	1	JOINT_PASS	samples/방송통신위원회/보도자료/case-00000-13-2018.hwpx	hwpx	보도자료	방송통신위원회	2018	14	14	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	true	false	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-000014	ir-diff	render-diff	1	0	0	SHADOW_A_ONLY	samples/개인정보보호위원회/내부결재/case-00000-14-2019.hwp	hwp	내부결재	개인정보보호위원회	2019	15	21	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	true	true	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-000015	ir-diff	render-diff	0	1	0	SHADOW_B_ONLY	samples/국민권익위원회/수신문서/case-00000-15-2020.hwpx	hwpx	수신문서	국민권익위원회	2020	17	16	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	false	false	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-000016	ir-diff	render-diff	0	0	0	JOINT_BOTH_FAIL	samples/국가인권위원회/발신문서/case-00000-16-2021.hwp	hwp	발신문서	국가인권위원회	2021	19	20	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	false	true	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-000017	ir-diff	dump-pages	1	1	1	JOINT_PASS	samples/통계청/회의안건/case-00000-17-2022.hwpx	hwpx	회의안건	통계청	2022	18	18	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	true	18	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-000018	ir-diff	dump-pages	1	0	0	SHADOW_A_ONLY	samples/기상청/심사평가/case-00000-18-2023.hwp	hwp	심사평가	기상청	2023	19	24	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	true	24+1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-000019	ir-diff	dump-pages	0	1	0	SHADOW_B_ONLY	samples/관세청/현장점검/case-00000-19-2024.hwpx	hwpx	현장점검	관세청	2024	22	20	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	false	20	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-000020	ir-diff	dump-pages	0	0	0	JOINT_BOTH_FAIL	samples/검찰청/안전관리/case-00000-20-2025.hwp	hwp	안전관리	검찰청	2025	24	23	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	false	23+1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-000021	ir-diff	info	1	1	1	JOINT_PASS	samples/경찰청/개인정보/case-00000-21-2026.hwpx	hwpx	개인정보	경찰청	2026	22	22	rhwp ir-diff --json	rhwp info --json	identical	pageCount	true	22	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-000022	ir-diff	info	1	0	0	SHADOW_A_ONLY	samples/소방청/정보공개/case-00000-22-2016.hwp	hwp	정보공개	소방청	2016	23	27	rhwp ir-diff --json	rhwp info --json	identical	pageCount	true	27+1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-000023	ir-diff	info	0	1	0	SHADOW_B_ONLY	samples/해양경찰청/민원회신/case-00000-23-2017.hwpx	hwpx	민원회신	해양경찰청	2017	27	24	rhwp ir-diff --json	rhwp info --json	identical	pageCount	false	24	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-000024	ir-diff	info	0	0	0	JOINT_BOTH_FAIL	samples/병무청/훈령별표/case-00000-24-2018.hwp	hwp	훈령별표	병무청	2018	26	31	rhwp ir-diff --json	rhwp info --json	identical	pageCount	false	31+1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-000025	ir-diff	inspect-hidden	1	1	1	JOINT_PASS	samples/산림청/질의회신/case-00000-25-2019.hwpx	hwpx	질의회신	산림청	2019	26	26	rhwp ir-diff --json	rhwp inspect hidden-text --json	identical	clean	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:inspect hidden-text	1	1
v-shadow-000026	ir-diff	inspect-hidden	1	0	0	SHADOW_A_ONLY	samples/농촌진흥청/업무계획/case-00000-26-2020.hwp	hwp	업무계획	농촌진흥청	2020	27	30	rhwp ir-diff --json	rhwp inspect hidden-text --json	identical	clean	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect hidden-text	1	1
v-shadow-000027	ir-diff	inspect-hidden	0	1	0	SHADOW_B_ONLY	samples/중소벤처기업부/점검표/case-00000-27-2021.hwpx	hwpx	점검표	중소벤처기업부	2021	29	28	rhwp ir-diff --json	rhwp inspect hidden-text --json	identical	clean	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect hidden-text	1	1
v-shadow-000028	ir-diff	inspect-hidden	0	0	0	JOINT_BOTH_FAIL	samples/과학기술정보통신부/서식/case-00000-28-2022.hwp	hwp	서식	과학기술정보통신부	2022	31	34	rhwp ir-diff --json	rhwp inspect hidden-text --json	identical	clean	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:inspect hidden-text	1	1
v-shadow-000029	ir-diff	inspect-injection	1	1	1	JOINT_PASS	samples/문화체육관광부/예규/case-00000-29-2023.hwpx	hwpx	예규	문화체육관광부	2023	30	30	rhwp ir-diff --json	rhwp inspect injection --json	identical	clean	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:inspect injection	1	1
v-shadow-000030	ir-diff	inspect-injection	1	0	0	SHADOW_A_ONLY	samples/환경부/지침/case-00000-30-2024.hwp	hwp	지침	환경부	2024	31	33	rhwp ir-diff --json	rhwp inspect injection --json	identical	clean	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect injection	1	1
v-shadow-000031	ir-diff	inspect-injection	0	1	0	SHADOW_B_ONLY	samples/해양수산부/공고/case-00000-31-2025.hwpx	hwpx	공고	해양수산부	2025	34	32	rhwp ir-diff --json	rhwp inspect injection --json	identical	clean	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect injection	1	1
v-shadow-000032	ir-diff	inspect-injection	0	0	0	JOINT_BOTH_FAIL	samples/법제처/기안문/case-00001-32-2026.hwp	hwp	기안문	법제처	2026	36	37	rhwp ir-diff --json	rhwp inspect injection --json	identical	clean	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:inspect injection	1	1
v-shadow-000033	ir-diff	inspect-unicode	1	1	1	JOINT_PASS	samples/행정안전부/편람/case-00001-33-2016.hwpx	hwpx	편람	행정안전부	2016	34	34	rhwp ir-diff --json	rhwp inspect unicode --json	identical	clean	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:inspect unicode	1	1
v-shadow-000034	ir-diff	inspect-unicode	1	0	0	SHADOW_A_ONLY	samples/국세청/시험지/case-00001-34-2017.hwp	hwp	시험지	국세청	2017	35	41	rhwp ir-diff --json	rhwp inspect unicode --json	identical	clean	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:inspect unicode	1	1
