case_id	plan	expect_sha	reproduced	tool_version	verdict	mode	source	plan_sha256	output_sha256	expected_tool_version	input_path	action	exit_class	labor_accepted	evidence_kind	implementer_claim	sha_defect	family
v-replay-109201	로컬에서 재실행했고 성공했습니다. 해시 대조는 생략했습니다. case=109200 {"planVersion":"1.0","input":"samples/과학기술정보통신부/공고-109201.hwpx","output":"out/과학기술정보통신부/공고-109201-vreplay.hwpx","steps":[{"action":"replace_text","find":"2025년 1차","replace":"2026년 2차"}]}				PROSE_NOT_EVIDENCE	absent	prose	d7abc4d78ee93af864ba774f83ca253bd9578c5c04bf2238356294b5522ecb71	829cb7e28a3bc8383bdc61c6d635a152f8a320a647c712c4b1b77d206a125c81			prose	2	0	none	과학기술정보통신부 공고 건(#109200)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-109202	{"planVersion":"1.0","input":"samples/행정안전부/공고-109202.hwp","output":"out/행정안전부/공고-109202-vreplay.hwp","steps":[{"action":"replace_text","find":"3월 31일","replace":"2026년 2차"}]}			0.8.3	NO_EXPECT_SHA	verify	replay	aba52ca84e29bc9fba1666fe436ec5b585f024bc4862b8c9c4b966f2a41eaf83	5036480a577e659f547f31c63ae026749c083acedb248e2135429d906bd9c8ed	0.8.3	samples/행정안전부/공고-109202.hwp	replace_text	2	0	none	행정안전부 공고 건(#109201)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-109203	{"planVersion":"1.0","input":"samples/기획재정부/공고-109203.hwp","output":"out/기획재정부/공고-109203-vreplay.hwp","steps":[{"action":"replace_text","find":"과학기술정보통신부","replace":"2026년 2차"}]}	GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG:109202	0	0.8.2	INVALID_EXPECT_SHA	verify	replay	24d74fa31664aca9c1f1f30d852a7e8cc2a04b6fd3f4b3ca31c2053f0f9fb1e5	58ceefb2afc149e17ccec0e210b780b9cf83e5aa8d20bd1348a56a6d8eacb771	0.8.2	samples/기획재정부/공고-109203.hwp	replace_text	2	0	none	기획재정부 공고 건(#109202)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	length	INVALID_EXPECT_SHA
v-replay-109204	{"planVersion":"1.0","input":"samples/법무부/공고-109204.hwp","output":"out/법무부/공고-109204-vreplay.hwp","steps":[{"action":"replace_text","find":"붙임 1. 과업지시서","replace":"4월 15일"}]}	8e6328a0c33b9d2fd885da99bdf89882f5696c53d9192af9d3a07f8a73b3b929	1		TOOL_VERSION_MISSING	verify	replay	c7167c385c515927f34186c33e8fa6ea9ea80d3f01fdbdaf9dc00845286e0f3a	8e6328a0c33b9d2fd885da99bdf89882f5696c53d9192af9d3a07f8a73b3b929		samples/법무부/공고-109204.hwp	replace_text	2	0	none	법무부 공고 건(#109203)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-109205	{"planVersion":"1.0","input":"samples/교육부/공고-109205.hwp","output":"out/교육부/공고-109205-vreplay.hwp","steps":[{"action":"replace_text","find":"수신자 내부결재","replace":"4월 15일"}]}	9dd55fec67fc12d97722d330ea1c319fcd2605fe36221067220cbe32974d9310	1	0.8.0	TOOL_VERSION_MISMATCH	verify	replay	b57151907f9d64216cbd5de23821c199832c2dd0d71d1b1274dab1ad1d3f279e	9dd55fec67fc12d97722d330ea1c319fcd2605fe36221067220cbe32974d9310	0.7.13	samples/교육부/공고-109205.hwp	replace_text	3	0	reproduced_field	교육부 공고 건(#109204)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-109206		d14955fbc14c89c0b8895a62f1806c4e849e50533e76481e49b6171cffc2c7b7	1	0.7.15	NO_PLAN	verify	replay		bf8cf699ff9498c51ddcadeb81078db5d767602553a0f1acb93d4dec1a7ac377	0.7.15		missing	2	0	none	국방부 공고 건(#109205)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-109207	{"planVersion":"1.0","input":"samples/보건복지부/공고-109207.hwp","output":"out/보건복지부/공고-109207-vreplay.hwp","steps":[{"action":"replace_text","find":"사업기간 2025.01.01","replace":"행정안전부"}]}	3f2bf2087d51986f608f2df71d4360b9a5ea11b3ac8f72039aee1aece274d93c	1	0.7.14	LABOR_ACCEPTED	verify	capsule	3f3698771b3d7717fc9e400b8d63869b47068bcd161abd88a771113fdc38b4fe	3f2bf2087d51986f608f2df71d4360b9a5ea11b3ac8f72039aee1aece274d93c	0.7.14	samples/보건복지부/공고-109207.hwp	replace_text	0	1	reproduced_field	보건복지부 공고 건(#109206)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-109208	{"planVersion":"1.0","input":"samples/고용노동부/공고-109208.hwp","output":"out/고용노동부/공고-109208-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드16":"행정안전부"}}]}	da99e642050b194ef3d267c4474202dcd206b58bc799ccffaa7d8c029e66ef52	0	0.7.13	LABOR_REJECTED	verify	replay	a4f57c5a1f54e8dc14c257983854b97fd03cc643b59b7461b6acba324014e9c1	624cfa6bc1c38fa6bd59bfdadd101a852c9e310e5bb4f235021e952c91cf9382	0.7.13	samples/고용노동부/공고-109208.hwp	fill_fields	3	0	reproduced_field	고용노동부 공고 건(#109207)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
v-replay-109209	{"planVersion":"1.0","input":"samples/국토교통부/공고-109209.hwp","output":"out/국토교통부/공고-109209-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드0":"행정안전부"}}]}			0.8.4	ATTEST_NOT_THIRD_PARTY	attest	replay	10b98f1461cbdb2f1a82e15735748f60d97feaee24d1724d2e02a91f694038a3	332bff0d98190bd4a96cc120226cb6cd2a37e96bcc62b342bbf0f46bd5c786e9	0.8.4	samples/국토교통부/공고-109209.hwp	fill_fields	0	0	none	국토교통부 공고 건(#109208)은 구현자가 끝났다고 썼다. 가족=ATTEST_NOT_THIRD_PARTY. 이 문장은 판정에 쓰지 않는다.	missing	ATTEST_NOT_THIRD_PARTY
v-replay-109210	작업이 완료되었습니다. 산출물이 맞다고 확신합니다. case=109209 {"planVersion":"1.0","input":"samples/환경부/공고-109210.hwp","output":"out/환경부/공고-109210-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드1":"붙임 2. 산출내역서"}}]}				PROSE_NOT_EVIDENCE	absent	prose	ff7238b6208a53cc67234bd0ac75e51f22995762cb85d0d532e16a7d620e458f	8ead2b2b4a9a5b1830de8011eb39e3d5ed2c27d1c93cccbccdfb7bf147135a7f			prose	2	0	none	환경부 공고 건(#109209)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
