case_id	command	exit	identical	has_signal	reproduced	page_count_a	page_count_b	page_count_mismatch	struct_status	struct_node	page_count_node	verify_identical	verify_diff_count	diff_count	fail_count	pass_count	verdict	regression	status	clean	signal_count	valid	finding_count	overflow_count	overlap_count	empty_page_count	expected	contradiction_id	success_tokens	fail_tokens	sample	source_format	agency	doc_kind	year	family
v-abstain-006021	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	1				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/교육부/2020/보도자료-예산서-006021.hwp	hwp	교육부	예산서	2020	보도자료
v-abstain-006022	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	1				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/보건복지부/2020/보도자료-예산서-006022.hwpx	hwpx	보건복지부	예산서	2020	보도자료
v-abstain-006023	ir-diff	0	1	0		12	12	0	PASS	page/1/header	page/1/header	1	0	0	0	1				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/국토교통부/2020/보도자료-예산서-006023.hwp	hwp	국토교통부	예산서	2020	보도자료
v-abstain-006024	ir-diff	0	1	0		12	12	0	PASS	page/1/footer	page/1/footer	1	0	0	0	1				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/고용노동부/2020/보도자료-예산서-006024.hwpx	hwpx	고용노동부	예산서	2020	보도자료
v-abstain-006025	ir-diff	0	1	0		12	12	0	PASS	page/0/body	page/0/body	1	0	0	0	2				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/외교부/2020/보도자료-예산서-006025.hwp	hwp	외교부	예산서	2020	보도자료
v-abstain-006026	ir-diff	0	1	0		12	12	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	2				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/기획재정부/2020/보도자료-예산서-006026.hwpx	hwpx	기획재정부	예산서	2020	보도자료
v-abstain-006027	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	2				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/공정거래위원회/2020/보도자료-예산서-006027.hwp	hwp	공정거래위원회	예산서	2020	보도자료
v-abstain-006028	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	2				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/금융위원회/2020/보도자료-예산서-006028.hwpx	hwpx	금융위원회	예산서	2020	보도자료
v-abstain-006029	ir-diff	0	1	0		12	12	0	PASS	page/1/header	page/1/header	1	0	0	0	2				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/방송통신위원회/2020/보도자료-예산서-006029.hwp	hwp	방송통신위원회	예산서	2020	보도자료
v-abstain-006030	ir-diff	0	1	0		12	12	0	PASS	page/1/footer	page/1/footer	1	0	0	0	2				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/개인정보보호위원회/2020/보도자료-예산서-006030.hwpx	hwpx	개인정보보호위원회	예산서	2020	보도자료
v-abstain-006031	ir-diff	0	1	0		12	12	0	PASS	page/0/body	page/0/body	1	0	0	0	3				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/국민권익위원회/2020/보도자료-예산서-006031.hwp	hwp	국민권익위원회	예산서	2020	보도자료
v-abstain-006032	ir-diff	0	1	0		12	12	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	3				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/국가인권위원회/2020/보도자료-예산서-006032.hwpx	hwpx	국가인권위원회	예산서	2020	보도자료
v-abstain-006033	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	3				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/통계청/2020/보도자료-예산서-006033.hwp	hwp	통계청	예산서	2020	보도자료
v-abstain-006034	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	3				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/기상청/2020/보도자료-예산서-006034.hwpx	hwpx	기상청	예산서	2020	보도자료
v-abstain-006035	ir-diff	0	1	0		12	12	0	PASS	page/1/header	page/1/header	1	0	0	0	3				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/관세청/2021/보도자료-예산서-006035.hwp	hwp	관세청	예산서	2021	보도자료
v-abstain-006036	ir-diff	0	1	0		12	12	0	PASS	page/1/footer	page/1/footer	1	0	0	0	3				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/검찰청/2021/보도자료-예산서-006036.hwpx	hwpx	검찰청	예산서	2021	보도자료
v-abstain-006037	ir-diff	0	1	0		12	12	0	PASS	page/0/body	page/0/body	1	0	0	0	4				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/경찰청/2021/보도자료-예산서-006037.hwp	hwp	경찰청	예산서	2021	보도자료
v-abstain-006038	ir-diff	0	1	0		12	12	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	4				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/소방청/2021/보도자료-예산서-006038.hwpx	hwpx	소방청	예산서	2021	보도자료
v-abstain-006039	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	4				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/해양경찰청/2021/보도자료-예산서-006039.hwp	hwp	해양경찰청	예산서	2021	보도자료
v-abstain-006040	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	4				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/병무청/2021/보도자료-예산서-006040.hwpx	hwpx	병무청	예산서	2021	보도자료
v-abstain-006041	ir-diff	0	1	0		12	12	0	PASS	page/1/header	page/1/header	1	0	0	0	4				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/산림청/2021/보도자료-예산서-006041.hwp	hwp	산림청	예산서	2021	보도자료
v-abstain-006042	ir-diff	0	1	0		12	12	0	PASS	page/1/footer	page/1/footer	1	0	0	0	4				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/농촌진흥청/2021/보도자료-예산서-006042.hwpx	hwpx	농촌진흥청	예산서	2021	보도자료
v-abstain-006043	ir-diff	0	1	0		12	12	0	PASS	page/0/body	page/0/body	1	0	0	0	5				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/중소벤처기업부/2021/보도자료-예산서-006043.hwp	hwp	중소벤처기업부	예산서	2021	보도자료
v-abstain-006044	ir-diff	0	1	0		12	12	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	5				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/과학기술정보통신부/2021/보도자료-예산서-006044.hwpx	hwpx	과학기술정보통신부	예산서	2021	보도자료
v-abstain-006045	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	5				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/문화체육관광부/2021/보도자료-예산서-006045.hwp	hwp	문화체육관광부	예산서	2021	보도자료
v-abstain-006046	ir-diff	0	1	0		12	12	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	5				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/환경부/2021/보도자료-예산서-006046.hwpx	hwpx	환경부	예산서	2021	보도자료
v-abstain-006047	ir-diff	0	1	0		12	12	0	PASS	page/1/header	page/1/header	1	0	0	0	5				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/해양수산부/2021/보도자료-예산서-006047.hwp	hwp	해양수산부	예산서	2021	보도자료
v-abstain-006048	ir-diff	0	1	0		12	12	0	PASS	page/1/footer	page/1/footer	1	0	0	0	5				1			0			3	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/법제처/2021/보도자료-회의록-006048.hwpx	hwpx	법제처	회의록	2021	보도자료
v-abstain-006049	ir-diff	0	1	0		13	13	0	PASS	page/0/body	page/0/body	1	0	0	0	0				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/행정안전부/2021/보도자료-회의록-006049.hwp	hwp	행정안전부	회의록	2021	보도자료
v-abstain-006050	ir-diff	0	1	0		13	13	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	0				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/국세청/2021/보도자료-회의록-006050.hwpx	hwpx	국세청	회의록	2021	보도자료
v-abstain-006051	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	0				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/대법원/2021/보도자료-회의록-006051.hwp	hwp	대법원	회의록	2021	보도자료
v-abstain-006052	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	0				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/특허청/2022/보도자료-회의록-006052.hwpx	hwpx	특허청	회의록	2022	보도자료
v-abstain-006053	ir-diff	0	1	0		13	13	0	PASS	page/1/header	page/1/header	1	0	0	0	0				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/교육부/2022/보도자료-회의록-006053.hwp	hwp	교육부	회의록	2022	보도자료
v-abstain-006054	ir-diff	0	1	0		13	13	0	PASS	page/1/footer	page/1/footer	1	0	0	0	0				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/보건복지부/2022/보도자료-회의록-006054.hwpx	hwpx	보건복지부	회의록	2022	보도자료
v-abstain-006055	ir-diff	0	1	0		13	13	0	PASS	page/0/body	page/0/body	1	0	0	0	1				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/국토교통부/2022/보도자료-회의록-006055.hwp	hwp	국토교통부	회의록	2022	보도자료
v-abstain-006056	ir-diff	0	1	0		13	13	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	1				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/고용노동부/2022/보도자료-회의록-006056.hwpx	hwpx	고용노동부	회의록	2022	보도자료
v-abstain-006057	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	1				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/외교부/2022/보도자료-회의록-006057.hwp	hwp	외교부	회의록	2022	보도자료
v-abstain-006058	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	1				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/기획재정부/2022/보도자료-회의록-006058.hwpx	hwpx	기획재정부	회의록	2022	보도자료
v-abstain-006059	ir-diff	0	1	0		13	13	0	PASS	page/1/header	page/1/header	1	0	0	0	1				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/공정거래위원회/2022/보도자료-회의록-006059.hwp	hwp	공정거래위원회	회의록	2022	보도자료
v-abstain-006060	ir-diff	0	1	0		13	13	0	PASS	page/1/footer	page/1/footer	1	0	0	0	1				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/금융위원회/2022/보도자료-회의록-006060.hwpx	hwpx	금융위원회	회의록	2022	보도자료
v-abstain-006061	ir-diff	0	1	0		13	13	0	PASS	page/0/body	page/0/body	1	0	0	0	2				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/방송통신위원회/2022/보도자료-회의록-006061.hwp	hwp	방송통신위원회	회의록	2022	보도자료
v-abstain-006062	ir-diff	0	1	0		13	13	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	2				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/개인정보보호위원회/2022/보도자료-회의록-006062.hwpx	hwpx	개인정보보호위원회	회의록	2022	보도자료
v-abstain-006063	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	2				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/국민권익위원회/2022/보도자료-회의록-006063.hwp	hwp	국민권익위원회	회의록	2022	보도자료
v-abstain-006064	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	2				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/국가인권위원회/2022/보도자료-회의록-006064.hwpx	hwpx	국가인권위원회	회의록	2022	보도자료
v-abstain-006065	ir-diff	0	1	0		13	13	0	PASS	page/1/header	page/1/header	1	0	0	0	2				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/통계청/2022/보도자료-회의록-006065.hwp	hwp	통계청	회의록	2022	보도자료
v-abstain-006066	ir-diff	0	1	0		13	13	0	PASS	page/1/footer	page/1/footer	1	0	0	0	2				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/기상청/2022/보도자료-회의록-006066.hwpx	hwpx	기상청	회의록	2022	보도자료
v-abstain-006067	ir-diff	0	1	0		13	13	0	PASS	page/0/body	page/0/body	1	0	0	0	3				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/관세청/2022/보도자료-회의록-006067.hwp	hwp	관세청	회의록	2022	보도자료
v-abstain-006068	ir-diff	0	1	0		13	13	0	PASS	page/0/para/0	page/0/para/0	1	0	0	0	3				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/검찰청/2022/보도자료-회의록-006068.hwpx	hwpx	검찰청	회의록	2022	보도자료
v-abstain-006069	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0	page/0/table/0	1	0	0	0	3				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/경찰청/2023/보도자료-회의록-006069.hwp	hwp	경찰청	회의록	2023	보도자료
v-abstain-006070	ir-diff	0	1	0		13	13	0	PASS	page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	0	0	0	3				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/소방청/2023/보도자료-회의록-006070.hwpx	hwpx	소방청	회의록	2023	보도자료
v-abstain-006071	ir-diff	0	1	0		13	13	0	PASS	page/1/header	page/1/header	1	0	0	0	3				1			0			0	pass		identical=true|hasSignal=false|pageCountMismatch=false|pageCountA==pageCountB|struct=PASS|verify.identical=true|verify.diffCount=0|diffCount=0|failCount=0|clean=true|findingCount=0|exit=0		samples/해양경찰청/2023/보도자료-회의록-006071.hwp	hwp	해양경찰청	회의록	2023	보도자료
