slot	severity	title	why
system_prompt	critical	시스템 프롬프트	문서가 에이전트 규칙을 다시 쓴다. 표지·금지 목록·권한 축소가 한 번에 무너진다.
tool_name	critical	다음 호출의 도구 이름	문서가 어떤 도구를 부를지 정하면 읽기 전용 턴이 쓰기로 바뀐다.
tool_arg_path	critical	도구 인자 — 입력 경로	문서가 다음 읽기·쓰기 대상을 정한다. 경로 순회·덮어쓰기로 직결된다.
tool_arg_output	critical	산출 파일 이름·디렉터리	title·필드 값으로 파일 이름을 만들면 문서가 덮어쓸 위치를 고른다.
shell_command	critical	셸 명령 문자열	rhwp 자체는 Command::new(exe).args 를 쓰지만 소비자가 셸을 거치면 끝난다.
url_destination	critical	URL·원격 목적지	문서가 목적지를 정하면 그것이 유출이다.
http_request_body	critical	HTTP 요청 본문	발췌·표 셀을 외부 API 로 보내면 개인정보와 주입문이 함께 유출된다.
run_plan_json	critical	run 계획서 JSON	문서가 파일 쓰기 계획을 직접 쓰는 것과 같다.
permission_judgment	high	권한·승인 판단의 근거	문서가 자기 승인 여부를 말할 수는 없다.
source_label	high	격벽 source_label	표지 줄 자체가 공격면이 된다. title 을 라벨로 쓰면 격벽이 문서 문장을 입는다.
log_filename	high	로그·영수증 파일 이름	title·필드 이름으로 로그 파일을 열면 경로 주입과 개인정보 파일명 유출이 난다.
email_recipient	critical	메일 수신자	문서가 수신자를 정하면 유출이다.
email_subject	high	메일 제목	title 은 본문 첫 줄이다. 제목으로 쓰면 주입문이 메일 헤더를 탄다.
mcp_resource_uri	high	MCP 리소스 URI	문서 문자로 URI 를 만들면 리소스 서버가 문서가 고른 경로를 읽는다.
next_cli_subcommand	critical	다음 CLI 하위명령 문자열	문서가 서브커맨드를 고르면 조회 세션이 편집·변환으로 바뀐다.
verify_expected	high	verify expected 값	문서 파생 값을 expected 로 넣으면 문서가 자기 검증을 통과시킨다.
filename_from_title	critical	title 로 만든 파일 이름	info.title 은 앞 3쪽 첫 의미 줄(#3407)이다. 메타데이터가 아니다.
env_variable	high	환경 변수 값	문서 문자열을 ENV 에 넣으면 자식 프로세스가 주입문을 설정으로 읽는다.
scheduler_payload	critical	스케줄·자동화 페이로드	문서가 반복 작업의 인자·시각·대상을 정하면 주입이 상주한다.
git_commit_message	medium	커밋 메시지·이슈 제목	본문 첫 줄을 커밋/이슈 제목으로 쓰면 주입문이 협업 도구를 탄다.
policy_exception	high	정책 예외 사유	문서가 '이 문서는 예외'라고 적었다고 게이트를 열면 문서가 정책을 쓴다.
multimodal_caption	high	멀티모달 캡션·alt	thumbnail base64 옆 캡션에 title 을 넣으면 그림+문장이 함께 모델을 조종한다.
cache_key	medium	캐시 키	문서 문자열을 캐시 키로 쓰면 충돌·경로 주입·키 목록 유출이 난다.
user_visible_ok	info	사용자 화면 (허용)	화면은 D 를 넣어도 되는 두 자리 중 하나다. 다만 화면 문자열이 다시 도구 인자로 복사되면 그 순간 금지 자리가 된다.
fenced_llm_block	info	nonce 격벽 LLM 블록 (허용·완화)	표지는 완화이지 방어가 아니다. nonce 충돌 시 실패. 권한 축소와 결합할 때만 값어치.
