case_id	check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class
g-ir-pages-pass	ir-diff	verify-pages	1	1	1	JOINT_PASS
g-ir-pages-a	ir-diff	verify-pages	1	0	0	SHADOW_A_ONLY
g-ir-pages-b	ir-diff	verify-pages	0	1	0	SHADOW_B_ONLY
g-ir-pages-fail	ir-diff	verify-pages	0	0	0	JOINT_BOTH_FAIL
g-verify-anomaly-pass	fill-verify	layout-anomaly	1	1	1	JOINT_PASS
g-verify-anomaly-a	fill-verify	layout-anomaly	1	0	0	SHADOW_A_ONLY
g-dump-info-pass	dump-pages	info	1	1	1	JOINT_PASS
g-render-layout	render-diff	layout-anomaly	1	1	1	JOINT_PASS
g-hidden-injection	inspect-hidden	inspect-injection	1	1	1	JOINT_PASS
g-replay-audit	replay	audit	0	1	0	SHADOW_B_ONLY
g-same-ir	ir-diff	ir-diff	1	1	0	SAME_CHECK_NOT_SHADOW
g-same-layout	layout-anomaly	layout-anomaly	0	1	0	SAME_CHECK_NOT_SHADOW
g-csv-sanitize	csv-to-table-verify	sanitize-verify	1	1	1	JOINT_PASS
g-lineage-replay	lineage	replay	1	0	0	SHADOW_A_ONLY
